中央政府總預算案,,,,,,,,,
歲出機關別預算表,,,,,,,,,
經資門併計,,,,,中華民國106年度,,,單位：新臺幣千元,
,,2,,"3303300200
人事行政之政策規劃執行及發展","220,587 ","133,174 ","87,413 ","本年度預算數之內容與上年度之比較如下：
1.人事行政綜合規劃經費4,905千元，較上
   年度減列人事行政研究發展徵文獎勵活動
   等經費889千元，增列推動策略性人力資
   源管理及研議增修訂人事法規等經費1,75
   7千元，計淨增868千元。
2.合理配置組設人力經費2,546千元，較上
   年度減列通訊費、國內旅費等386千元。
3.公務人員培訓與考用經費42,222千元，較
   上年度減列選送公務人員出國進修研習、
   中高階公務人員短期密集專業英語進修等
   經費2,040千元。
4.給與福利制度規劃經費1,737千元，較上
   年度減列辦理文康活動等經費4,496千元
   。
5.人事資訊發展規劃經費81,177千元，較上
   年度增列資訊服務費、資訊軟硬體設備費
   等73,162千元。
6.新增行政院跨領域科技管理與談判人才培
   育計畫經費18,000千元。
7.新增策略性人力資源跨域整合計畫，總經
   費442,236千元，分4年辦理，本年度編列
   第1年經費70,000千元。
8.上年度行政院跨領域科技管理人才在職培
   訓發展計畫預算業已編竣，所列19,797千
   元如數減列。
9.上年度全國公務人力資源智慧型資訊服務
   計畫預算業已編竣，所列43,201千元如數
   減列。
10.上年度循證化公務人力統計分析服務計
   畫預算業已編竣，所列4,697千元如數減
   列。",
,,3,,"3303300300
一般建築及設備",820 ,-,820 ,,
,,,1,"3303300301
交通及運輸設備",820 ,-,820 ,新增汰換小客貨兩用車1輛經費如列數。,
,,4,,"3303309800
第一預備金","2,000 ","2,000 ",0 ,仍照上年度預算數編列。,
,,,,"7503300000
退休撫卹給付支出","40,419 ","42,007 ","-1,588 ",,
,,5,,"7503303400
第一屆資深中央民代自願退職給付","11,240 ","12,828 ","-1,588 ","本年度預算數之內容與上年度之比較如下：
1.第一屆資深國民大會代表自願退職給付7,
   530千元，較上年度減列優惠存款利息差
   額補貼經費942千元。
2.第一屆資深立法委員自願退職給付3,710
   千元，較上年度減列優惠存款利息差額補
   貼經費646千元。",
,,6,,"7503303600
因公殘廢死亡慰問給付","9,179 ","9,179 ",0 ,"本年度預算數9,179千元，係辦理中央公教
員工非屬公務人員保障法適（準）用對象因
公殘廢死亡慰問給付經費，與上年度同。",
,,7,,"7503304300
公教員工資遣退職給付","20,000 ","20,000 ",0 ,"本年度預算數20,000千元，係辦理各機關學
校員工退職資遣、遣離給付及教育聘任人員
舊制退撫給付，與上年度同。",
,,,,"8903300000
其他支出","1,700,000 ","1,800,000 ","-100,000 ",,
,,8,,"8903304500
公教人員婚喪生育及子女教育補助","1,700,000 ","1,800,000 ","-100,000 ","本年度預算數1,700,000千元，係辦理公教
人員婚喪生育及子女教育補助費，較上年度
減列100,000千元。",
,4,,,"0003310000
公務人力發展中心","127,964 ","125,430 ","2,534 ",,
,,,,"3303310000
行政支出","127,964 ","125,430 ","2,534 ",,
,,1,,"3303310100
一般行政","56,861 ","56,342 ",519 ,"本年度預算數之內容與上年度之比較如下：
1.人員維持費54,001千元，較上年度增列員
   工薪俸晉級差額等經費927千元。
2.基本行政工作維持費2,860千元，較上年
   度減列其他業務租金、物品等經費528千
   元，增列宿舍水電及管理費等120千元，
   計淨減408千元。",
,,2,,"3303311000
訓練輔導及研究","70,503 ","68,425 ","2,078 ","本年度預算數之內容與上年度之比較如下：
1.在職訓練研習課程經費48,360千元，較上
   年度減列聘請講座及學員膳宿等經費2,81
   6千元。
2.訓練輔導行政維持經費3,560千元，較上
   年度增列訓練行政專業服務等經費208千
   元。
3.人力資源研究發展經費13,243千元，較上
   年度增列建置資訊安全環境相關設備等經
   費2,502千元。
4.網路教學系統經費5,340千元，較上年度
   減列網路教學課程規劃設計等經費316千
   元，增列辦理數位行動學習建置經費2,50
   0千元，計淨增2,184千元。",
,,3,,"3303319000
一般建築及設備",0 ,63 ,-63 ,,
,,,1,"3303319011
交通及運輸設備",0 ,63 ,-63 ,"上年度汰換公務機車1輛預算業已編竣，所
列63千元如數減列。",
,,4,,"3303319800
第一預備金",600 ,600 ,0 ,仍照上年度預算數編列。,
,5,,,"0003330000
地方行政研習中心","128,507 ","127,177 ","1,330 ",,
,,,,"3303330000
行政支出","128,507 ","127,177 ","1,330 ",,
,,1,,"3303330100
一般行政","80,355 ","82,089 ","-1,734 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費76,294千元，較上年度核實減
   列人事費1,500千元。
2.基本行政工作維持費4,061千元，較上年
   度減列購置雜項設備及油料等經費234千
   元。",
,,2,,"3303330200
地方公務人員訓練","38,352 ","38,488 ",-136 ,"本年度預算數之內容與上年度之比較如下：
1.教學及發展經費16,055千元，較上年度減
   列講座鐘點費等835千元，增列稿費及短
   程車資等1,309千元，計淨增474千元。
2.輔導及推廣經費9,347千元，較上年度減
   列一般事務費等1,323千元，增列雜項設
   備費等2,501千元，計淨增1,178千元。
3.數位學習經費9,048千元，較上年度減列
   系統開發費等2,403千元，增列硬體設備
   費等1,327千元，計淨減1,076千元。
4.學員事務管理經費3,902千元，較上年度
   減列水電等經費1,261千元，增列園區用
   水及文教大樓照明設備智慧化改善等經費
   549千元，計淨減712千元。",
,,3,,"3303339000
一般建築及設備","9,200 ","6,000 ","3,200 ",,
,,,1,"3303339002
營建工程","9,200 ","6,000 ","3,200 ","本年度預算數之內容與上年度之比較如下：
1.辦理園區建築及教學設備改善計畫等經費
   9,200千元。
2.上年度辦理名人巷學員寢室及其他建物等
   修繕補強工程預算業已編竣，所列6,000
   千元如數減列。",
,,4,,"3303339800
第一預備金",600 ,600 ,0 ,仍照上年度預算數編列。,
,6,,,"0003400000
國立故宮博物院","1,150,825 ","1,519,440 ","-368,615 ",,
,,,,"5303400000
文化支出","1,150,825 ","1,519,440 ","-368,615 ",,
,,1,,"5303400100
一般行政","707,483 ","748,932 ","-41,449 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費509,126千元，較上年度減列
   撥補勞工退休準備金專戶差額經費50,364
   千元。
2.基本行政工作維持費198,357千元，較上
   年度增列外牆清洗及電信系統操作等經費
   8,915千元。",
,,2,,"5303400200
文物管理及展覽","163,029 ","170,008 ","-6,979 ",,
,,,1,"5303400201
器物管理研究及展覽","12,271 ","11,765 ",506 ,"本年度預算數之內容與上年度之比較如下：
1.器物管理經費4,931千元，較上年度減列
   數位攝影系統汰換等經費1,400千元。
2.器物研究經費992千元，較上年度減列赴
   國外蒐集展覽資料及接洽借展人員等經費
   1,011千元。
3.器物展覽經費6,348千元，較上年度增列
   辦理特展設計製作及燈光改善等經費2,91
   7千元。",
,,,2,"5303400202
書畫管理研究及展覽","11,238 ","9,742 ","1,496 ","本年度預算數之內容與上年度之比較如下：
1.書畫管理經費4,126千元，較上年度減列
   書畫數位製作與購置攝影器材設備等經費
   1,123千元。
2.書畫研究經費156千元，較上年度增列蒐
   集展覽資料等經費20千元。
3.書畫展覽經費6,956千元，較上年度增列
   展覽設計製作等經費2,599千元。",
,,,3,"5303400203
圖書管理研究及展覽","21,320 ","23,689 ","-2,369 ","本年度預算數之內容與上年度之比較如下：
1.圖書管理研究經費10,421千元，較上年度
   增列臨時人員酬金及函匣製作等經費1,35
   8千元。
2.圖書文獻展覽經費10,899千元，較上年度
   減列文獻展覽製作及陳列室展櫃燈光照明
   改善等經費3,727千元。",
,,,4,"5303400204
南院文物管理研究及展覽","101,074 ","107,450 ","-6,376 ","本年度預算數之內容與上年度之比較如下：
1.南院文物管理研究經費52,926千元，較上
   年度增列展場設計等經費3,497千元。
2.南院文物展覽經費48,148千元，較上年度
   減列資訊服務及資安設備等經費9,873千
   元。",
,,,5,"5303400205
展示服務與社教推廣","17,126 ","17,362 ",-236 ,"本年度預算數之內容與上年度之比較如下：
1.展示服務經費11,999千元，較上年度減列
   故宮簡介印製等經費236千元。
2.社教推廣經費5,127千元，與上年度同。",
,,3,,"5303400300
文物登錄與科技研析","16,438 ","22,653 ","-6,215 ","本年度預算數之內容與上年度之比較如下：
1.文物登錄徵集經費762千元，較上年度減
   列文物借展等經費84千元。
2.文物科技研析維護經費6,676千元，較上
   年度增列出席文物保存研討會等經費369
   千元。
3.新增實驗室維護與檢測技術提升經費9,00
   0千元。
4.上年度文物高精密科學檢測技術研發應用
   暨實驗室建置預算業已編竣，所列15,500
   千元如數減列。",
,,4,,"5303400400
文物加值運用與管理","4,870 ","4,855 ",15 ,"本年度預算數4,870千元，係辦理文物加值
運用與管理業務經費，較上年度增列數位照
相器材、攝影器材設備汰換等經費15千元。",
,,5,,"5303400500
資訊管理維護","51,802 ","77,570 ","-25,768 ","本年度預算數之內容與上年度之比較如下：
1.資訊管理與維護經費21,802千元，較上年
   度減列資通安全設備及差勤系統建置等經
   費1,294千元。
2.4G加速行動寬頻服務及產業發展計畫經費
   30,000千元，較上年度減列4G行動博物館
   內容製作等經費15,000千元。
3.上年度故宮行動電子化服務計畫預算業已
   編竣，所列9,474千元如數減列。",
,,6,,"5303400600
安全管理維護","170,197 ","136,886 ","33,311 ","本年度預算數之內容與上年度之比較如下：
1.北部院區安全管理維護經費62,307千元，
   較上年度增列消防設備汰舊改善等經費27
   ,521千元。
2.南部院區安全管理維護經費107,890千元
   ，較上年度增列保全業務等經費5,790千
   元。",
,,7,,"5303400700
故宮南部院區籌建",0 ,"316,900 ","-316,900 ","上年度故宮南部院區籌建計畫預算業已編竣
，所列316,900千元如數減列。",
,,8,,"5303409000
一般建築及設備","33,406 ","38,036 ","-4,630 ",,
,,,1,"5303409002
營建工程","30,600 ","24,000 ","6,600 ","本年度預算數之內容與上年度之比較如下：
1.新增辦理空調節能改善、戶外廣場無障礙
   鋪面工程及建築物耐震補強等經費30,600
   千元。
2.上年度辦理建築物改善、空調外氣改善、
   人流動線設施工程等預算業已編竣，所列
   24,000千元如數減列。",
,,,2,"5303409011
交通及運輸設備",63 ,-,63 ,新增汰換公務機車1輛經費如列數。,
,,,3,"5303409019
其他設備","2,743 ","14,036 ","-11,293 ","本年度預算數之內容與上年度之比較如下：
1.新增汰換通訊、機械儀器設備等經費2,74
   3千元。
2.上年度汰換辦公室設備等預算業已編竣，
   所列14,036千元如數減列。",
,,9,,"5303409800
第一預備金","3,600 ","3,600 ",0 ,仍照上年度預算數編列。,
,7,,,"0003410000
國家發展委員會","2,759,400 ","2,753,370 ","6,030 ",,
,,,,"6103410000
其他經濟服務支出","2,759,400 ","2,753,370 ","6,030 ",,
,,1,,"6103410100
一般行政","695,353 ","712,343 ","-16,990 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費647,156千元，較上年度核實
   減列人事費16,931千元。
2.基本行政工作維持費48,197千元，較上年
   度減列水電費等59千元。",
,,2,,"6103411000
規劃及推動國家發展計畫綜合業務","21,673 ","25,059 ","-3,386 ","本年度預算數之內容與上年度之比較如下：
1.規劃推動國家發展計畫經費1,406千元，
   較上年度減列一般事務費等668千元。
2.編審施政計畫及健全中長程計畫制度經費
   1,210千元，較上年度減列一般事務費等2
   77千元。
3.辦理國家發展重要議題研究經費9,000千
   元，較上年度減列辦理國家發展策略規劃
   及研析等經費2,596千元。
4.編製國家發展經社資料經費3,463千元，
   較上年度減列一般事務費等88千元。
5.管理圖書資訊及出版品經費3,708千元，
   較上年度增列辦理國發會出版品機構典藏
   系統內容擴充計畫等經費460千元。
6.推動國際合作及交流相關業務經費2,886
   千元，較上年度減列參加亞太經濟合作會
   議(APEC)相關會議與活動所需旅費等217
   千元。",
,,3,,"6103411100
研擬經濟政策、協調推動財經措施","19,169 ","19,551 ",-382 ,"本年度預算數之內容與上年度之比較如下：
1.經濟、景氣情勢分析經費10,124千元，較
   上年度減列辦理物價與景氣相關指標維護
   及議題研析等經費773千元。
2.財經新策略規劃研究經費9,045千元，較
   上年度增列辦理臺灣採購經理人指數編製
   及廠商營運展望調查等經費391千元。",
