,,,,,,,,
科　　　　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","本年度與
上年度比較",說　　　　　　　　明
,,,01,"　　　60023050201
　　　小型工程","1,750","1,500",250,"本年度編列項目如下：
1.修建6公尺以下巷道工程及小型排水溝工程1,050千元。 
2.6公尺以下道路維護費700千元。
　"
,016,,,"　00023060000
　高雄市前金區公所","65,159","69,151","-3,992",
,,01,,"　　33023060100
　　一般行政","50,683","51,339",-656,
,,,01,"　　　33023060101
　　　行政管理","50,683","51,339",-656,"本年度預算數之內容與上年度之比較如下：
1.人員維持費34,598千元與上年度同。
2.基本行政工作維持費637千元，較上年度減列汰換公務車及三節慰問金等經費656千元。
3.里鄰長及里幹事相關經費15,448千元與上年度同。
　"
,,02,,"　　33023060400
　　區公所業務","13,238","14,847","-1,609",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　33023060401
　　　業務管理","13,238","14,847","-1,609","本年度預算數較上年度減列1,609千元，包括：
1.區公所共同費用項目經費10,394千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費1,634千元。
2.辦理中央補助業務經費299千元與上年度同。
3.其他業務運作經費2,545千元，較上年度增列資訊設備等經費25千元。
　"
,,03,,"　　33023062200
　　廳舍興建與充實設備",-,"1,965","-1,965",
,,,01,"　　　33023062201
　　　廳舍修建",-,"1,965","-1,965","上年度辦理行政中心五樓頂漏水整修工程，預算業已編竣，所列1,965千元如數減列。
　"
,,04,,"　　60023060200
　　基層建設","1,238","1,000",238,
,,,01,"　　　60023060201
　　　小型工程","1,238","1,000",238,"本年度編列項目如下：
1.修建6公尺以下巷道工程1,010千元。
2.6公尺以下道路維護費228千元。
　"
,017,,,"　00023070000
　高雄市苓雅區公所","201,789","205,314","-3,525",
,,01,,"　　33023070100
　　一般行政","126,972","127,898",-926,
,,,01,"　　　33023070101
　　　行政管理","126,972","127,898",-926,"本年度預算數之內容與上年度之比較如下：
1.人員維持費74,187千元與上年度同。
2.基本行政工作維持費1,262千元，較上年度減列汰換公務車及三節慰問金等經費926千元。
3.里鄰長及里幹事相關經費51,523千元與上年度同。
　"
,,02,,"　　33023070400
　　區公所業務","65,853","70,416","-4,563",
,,,01,"　　　33023070401
　　　業務管理","65,853","70,416","-4,563","本年度預算數較上年度減列4,563千元，包括：
1.區公所共同費用項目經費46,125千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費4,320千元。
2.辦理中央補助與及回饋金業務經費15,731千元，較上年度增列282千元。
3.其他業務運作經費3,997千元，較上年度減列水電費及設備養護等經費525千元。
　"
,,03,,"　　60023070200
　　基層建設","8,964","7,000","1,964",
,,,01,"　　　60023070201
　　　小型工程","8,964","7,000","1,964","本年度編列項目如下：
1.修建6公尺以下巷道工程及小型排水溝工程7,886千元。
2.6公尺以下道路維護費1,078千元。
　"
,018,,,"　00023080000
　高雄市前鎮區公所","215,914","222,891","-6,977",
,,01,,"　　33023080100
　　一般行政","115,703","115,764",-61,
,,,01,"　　　33023080101
　　　行政管理","115,703","115,764",-61,"本年度預算數之內容與上年度之比較如下：
1.人員維持費70,628千元與上年度同。
2.基本行政工作維持費1,055千元，較上年度減列三節慰問金等經費290千元。
3.里鄰長及里幹事相關經費44,020千元，較上年度增列229千元。
　"
,,02,,"　　33023080400
　　區公所業務","89,682","96,653","-6,971",
,,,01,"　　　33023080401
　　　業務管理","89,682","96,653","-6,971","本年度預算數較上年度減列6,971千元，包括：
1.區公所共同費用項目經費46,496千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費3,804千元。
2.辦理中央補助與回饋金業務經費38,749千元，較上年度減列800千元。
3.其他業務運作經費4,437千元，較上年度減列辦公廳舍修繕等經費167千元。
4.上年度辦理崗山仔南區活動中心電梯汰換工程，預算業已編竣，所列2,200千元如數減列。
　"
,,03,,"　　33023082200
　　廳舍興建與充實設備","5,000","6,124","-1,124",
,,,01,"　　　33023082201
　　　廳舍修建","5,000","6,124","-1,124","本年度編列歸墊住宅基金代為興建竹西里活動中心本金與墊款息5,000千元。
　"
,,04,,"　　60023080200
　　基層建設","5,529","4,350","1,179",
,,,01,"　　　60023080201
　　　小型工程","5,529","4,350","1,179","本年度編列項目如下：
1.修建6公尺以下巷道工程及小型排水溝工程4,534千元。
2.6公尺以下道路維護費995千元。
　"
,019,,,"　00023090000
　高雄市旗津區公所","54,590","54,002",588,
,,01,,"　　33023090100
　　一般行政","39,603","39,072",531,
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　33023090101
　　　行政管理","39,603","39,072",531,"本年度預算數之內容與上年度之比較如下：
1.人員維持費29,323千元與上年度同。
2.基本行政工作維持費1,247千元，較上年度增列汰換公務車等經費531千元。
3.里鄰長及里幹事相關經費9,033千元與上年度同。
　"
,,02,,"　　33023090400
　　區公所業務","12,487","13,220",-733,
,,,01,"　　　33023090401
　　　業務管理","12,487","13,220",-733,"本年度預算數較上年度減列733千元，包括：
1.區公所共同費用項目經費8,176千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費590千元。
2.辦理中央補助與回饋金業務經費1,099千元，較上年度增列50千元。
3.其他業務運作經費3,212千元，較上年度減列設備養護等經費193千元。
　"
,,03,,"　　33023092200
　　廳舍興建與充實設備",-,460,-460,
,,,01,"　　　33023092201
　　　廳舍修建",-,460,-460,"上年度辦理眷屬宿舍拆除工程，預算業已編竣，所列460千元如數減列。
　"
,,04,,"　　60023090200
　　基層建設","2,500","1,250","1,250",
,,,01,"　　　60023090201
　　　小型工程","2,500","1,250","1,250","本年度編列項目如下：
1.修建6公尺以下巷道工程及小型排水溝工程2,410千元。
2.6公尺以下道路維護費90千元。
　"
,020,,,"　00023100000
　高雄市小港區公所","278,592","280,229","-1,637",
,,01,,"　　33023100100
　　一般行政","88,364","88,917",-553,
,,,01,"　　　33023100101
　　　行政管理","88,364","88,917",-553,"本年度預算數之內容與上年度之比較如下：
1.人員維持費61,526千元與上年度同。
2.基本行政工作維持費1,628千元，較上年度減列三節慰問金等經費191千元。
3.里鄰長及里幹事相關經費25,210千元，較上年度減列362千元。
　"
,,02,,"　　33023100400
　　區公所業務","135,328","167,162","-31,834",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　33023100401
　　　業務管理","135,328","167,162","-31,834","本年度預算數較上年度減列31,834千元，包括：
1.區公所共同費用項目經費25,982千元，較上年度減列區里公共設施及環境改善(105年補辦預算)等經費2,480千元。
2.辦理中央補助及與回饋金業務經費104,049千元，較上年度減列29,337千元。
3.其他業務運作經費5,297千元，較上年度減列表冊印刷等經費17千元。
　"
,,03,,"　　33023102200
　　廳舍興建與充實設備","1,000","3,600","-2,600",
,,,01,"　　　33023102201
　　　廳舍修建","1,000","3,600","-2,600","本年度編列台電促協金捐助辦理基層公共建設等1,000千元。
　"
,,04,,"　　60023100200
　　基層建設","53,900","20,550","33,350",
,,,01,"　　　60023100201
　　　小型工程","53,900","20,550","33,350","本年度編列項目如下：
1.修建6公尺以下巷道工程及小型排水溝工程5,400千元。
2.經濟部水利署捐助辦理水資源保育、排水、道路及綠美化相關工程15,000千元。
3.台電電協會發電促協金捐助辦理基層公共建設等33,500千元。
　"
,021,,,"　00023110000
　高雄市鳳山區公所","291,704","301,396","-9,692",
,,01,,"　　33023110100
　　一般行政","165,323","167,861","-2,538",
,,,01,"　　　33023110101
　　　行政管理","165,323","167,861","-2,538","本年度預算數之內容與上年度之比較如下：
1.人員維持費100,999千元，與上年度同。
2.基本行政工作維持費5,440千元，較上年度減列退休人員三節慰問金及影印機租金等經費758千元。
3.里鄰長及里幹事相關經費58,884千元，較上年度減列1,780千元。
　"
,,02,,"　　33023110400
　　區公所業務","106,949","118,435","-11,486",
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　
,,,01,"　　　33023110401
　　　業務管理","106,949","118,435","-11,486","本年度預算數較上年度減列11,486千元，包括：
1.區公所共同費用項目經費71,640千元，較上年度減列區里公共設施及環境改善費(105年補辦預算)等經費4,133千元。
2.辦理中央補助與回饋金業務經費5,049千元，較上年度減列4,150千元。
3.其他業務運作經費30,260千元，較上年度減列業務助理薪資等經費3,203千元。
　"
,,03,,"　　60023110200
　　基層建設","19,432","15,100","4,332",
,,,01,"　　　60023110201
　　　小型工程","19,432","15,100","4,332","本年度編列項目如下：
1.修建6公尺以下巷道工程及小型排水溝工程12,260千元。
2.6公尺以下道路維護費7,172千元。
　"
,022,,,"　00023120000
　高雄市林園區公所","207,632","239,345","-31,713",
,,01,,"　　33023120100
　　一般行政","70,903","71,326",-423,
,,,01,"　　　33023120101
　　　行政管理","70,903","71,326",-423,"本年度預算數之內容與上年度之比較如下：
1.人員維持費49,722千元與上年度同。
2.基本行政工作維持費4,755千元，較上年度減列退休人員三節慰問金等經費247千元。
3.里鄰長及里幹事相關經費16,426千元，較上年度減列176千元。
　"
,,02,,"　　33023120400
　　區公所業務","129,385","162,319","-32,934",
,,,01,"　　　33023120401
　　　業務管理","129,385","162,319","-32,934","本年度預算數較上年度減列32,934千元，包括：
1.區公所共同費用項目經費18,819千元，較上年度減列區里公共設施及環境改善費(105年補辦預算)等經費2,421千元。
2.中央補助及回饋金101,877千元，較上年度減列30,240千元。
3.其他業務運作經費8,689千元，較上年度減列監視器系統電費及網際網路等經費273千元。
　"
,,03,,"　　60023120200
　　基層建設","7,344","5,700","1,644",
,,,01,"　　　60023120201
　　　小型工程","7,344","5,700","1,644","本年度編列項目如下：
1.修建6公尺以下巷道工程5,000千元。
2.6公尺以下道路維護費2,344千元。
　"
　,　,　,　,　,　,　,　,　
,023,,,"　00023130000
　高雄市大寮區公所","168,404","172,156","-3,752",
